CodFrota;descricao_especialidade
65528;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65529;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65530;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65531;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65532;EQUIPAMENTO IRRIG - HIDRO ROLL IRRIGACAO
65700;EQUIPAMENTO IRRIG - MOTOR GERADOR
65701;EQUIPAMENTO IRRIG - MOTOR GERADOR
65702;EQUIPAMENTO INDUST - MOTOR GERADOR
65703;EQUIPAMENTO INDUST - MOTOR GERADOR
65704;EQUIPAMENTO IRRIG - MOTOR GERADOR
65705;EQUIPAMENTO IRRIG - MOTOR GERADOR
65706;EQUIPAMENTO IRRIG - MOTOR GERADOR
65707;EQUIPAMENTO IRRIG - MOTOR GERADOR
66002;IMPLEMENTO - HERBIPLUS E BOMBA COSTAL
66003;IMPLEMENTO - GRADAGEM
66004;IMPLEMENTO - GRADAGEM
66007;IMPLEMENTO - PLANTADORA CANA
66008;IMPLEMENTO - PLANTADORA CANA
66009;IMPLEMENTO - PLANTADORA CANA
66010;IMPLEMENTO - PLANTADORA CANA
66011;IMPLEMENTO - PLANTADORA CANA
66012;IMPLEMENTO - PLANTADORA CANA
66013;IMPLEMENTO - COBRIDOR
66014;IMPLEMENTO - COBRIDOR
66015;IMPLEMENTO - GRADAGEM
66016;IMPLEMENTO - SULCADOR
66017;IMPLEMENTO - SULCADOR
66018;IMPLEMENTO - SULCADOR
66019;IMPLEMENTO - HERBIPLUS E BOMBA COSTAL
66020;IMPLEMENTO - COBRIDOR
66021;IMPLEMENTO - SUBSOLADOR/CANTERIZADOR
66022;IMPLEMENTO - SUBSOLADOR/CANTERIZADOR
66023;IMPLEMENTO - SUBSOLADOR/CANTERIZADOR
66024;IMPLEMENTO - CARRETA AGRICOLA
66025;IMPLEMENTO - CARRETA AGRICOLA
66026;IMPLEMENTO - CARRETA AGRICOLA
66027;IMPLEMENTO - SUBSOLADOR/CANTERIZADOR
66029;IMPLEMENTO - GRADAGEM
66030;IMPLEMENTO - SULCADOR
66031;IMPLEMENTO - CULTIVADOR / QUEBRA LOMBO
66032;IMPLEMENTO - DISTRIBUIDOR ADUBO
66033;IMPLEMENTO - DISTRIBUIDOR ADUBO
66034;IMPLEMENTO - CARRETA AGRICOLA
66035;IMPLEMENTO - CULTIVADOR / QUEBRA LOMBO
66036;IMPLEMENTO - SULCADOR
66037;IMPLEMENTO - SULCADOR
66038;IMPLEMENTO - ROCADEIRA
66039;IMPLEMENTO - ROCADEIRA
66040;IMPLEMENTO - SUBSOLADOR/CANTERIZADOR
66041;IMPLEMENTO - TERRACIADOR
66042;IMPLEMENTO - TERRACIADOR
66043;IMPLEMENTO - SUBSOLADOR/CANTERIZADOR
66044;IMPLEMENTO - SULCADOR
66045;IMPLEMENTO - CARRETA AGRICOLA
66046;IMPLEMENTO - ROCADEIRA
66047;IMPLEMENTO - HERBIPLUS E BOMBA COSTAL
66048;IMPLEMENTO - SULCADOR
66049;IMPLEMENTO - CARRETA AGRICOLA
66050;IMPLEMENTO - GRADAGEM
66051;EQUIPAMENTO IRRIG - TRANSFORMADOR
66052;IMPLEMENTO - SUBSOLADOR/CANTERIZADOR
66053;IMPLEMENTO - CARRETA AGRICOLA
66054;IMPLEMENTO - CARRETA AGRICOLA
66055;IMPLEMENTO - SEPARADOR MAGNETICO
66056;REBOQUE - DOLLY
66057;REBOQUE - DOLLY
66059;IMPLEMENTO - ROCADEIRA
66060;EQUIPAMENTO IRRIG - TRANSFORMADOR
66061;EQUIPAMENTO IRRIG - TRANSFORMADOR
